tenure,MonthlyCharges,TotalCharges,Contract_One year,Contract_Two year,InternetService_Fiber optic,InternetService_No,OnlineSecurity_Yes,TechSupport_Yes,Churn
52,45.47,5263.1,False,True,True,False,False,True,0
15,104.09,7189.12,False,True,False,False,False,False,1
61,23.84,3208.16,True,False,True,False,False,False,0
21,110.18,2627.82,False,True,False,True,True,False,0
24,66.15,106.27,False,True,True,False,False,False,1
3,83.72,6615.88,True,False,True,False,True,False,0
22,85.94,6411.83,True,False,False,True,True,True,0
53,109.51,853.55,True,False,False,True,False,True,0
2,83.67,4623.32,True,False,False,True,True,True,0
30,81.39,3722.57,False,False,True,False,False,False,0
38,26.67,967.3,True,False,False,False,False,True,0
2,71.84,7844.93,True,False,True,False,False,False,0
64,35.02,1733.27,True,False,True,False,False,True,1
60,93.74,556.53,False,True,False,False,False,False,0
21,71.22,4766.88,True,False,False,True,True,True,1
33,88.02,5916.16,False,False,True,False,False,True,1
58,24.17,278.9,False,False,False,False,True,False,0
22,28.48,5276.57,True,False,False,True,False,True,0
49,91.63,4267.69,False,False,False,True,False,True,0
59,27.21,844.05,False,True,True,False,False,False,0
42,27.13,1396.74,True,False,False,True,True,True,1
60,21.21,4552.43,False,False,False,True,True,True,0
15,115.65,2384.93,False,False,False,False,True,False,0
62,93.75,7507.76,True,False,False,False,True,False,0
62,55.33,6553.55,False,False,False,True,False,False,0
47,49.65,7868.87,True,False,False,False,False,False,0
62,54.97,2092.17,False,False,False,True,True,False,0
51,97.47,7758.39,False,True,True,False,True,True,0
55,86.14,3461.25,False,False,False,False,True,False,1
64,38.52,2793.2,False,False,False,True,False,False,0
3,37.41,421.79,True,False,False,True,True,True,0
51,29.84,441.07,False,False,False,False,True,True,0
7,86.03,5542.25,True,False,False,False,False,True,0
21,96.44,3674.27,False,True,True,False,True,True,0
39,46.5,1827.64,True,False,False,True,False,True,0
18,22.09,4919.48,True,False,True,False,False,False,0
4,28.22,2037.81,False,False,True,False,False,True,0
60,116.79,4629.5,False,True,True,False,False,False,0
14,49.54,2886.49,True,False,False,False,False,True,0
9,96.92,6591.95,False,False,True,False,True,False,0
53,82.47,6569.16,False,False,False,False,True,True,1
2,58.19,3829.26,True,False,False,False,False,False,0
60,40.57,2819.54,False,False,True,False,False,False,1
71,32.14,2913.23,True,False,True,False,True,False,0
44,81.5,6449.6,True,False,False,True,True,False,0
8,97.46,2638.87,True,False,True,False,False,False,0
47,84.39,1688.29,False,True,False,True,True,False,0
35,73.03,695.81,True,False,True,False,True,False,0
36,24.2,3744.21,False,False,True,False,False,False,1
50,116.85,3867.41,False,True,True,False,True,False,0
4,99.87,6730.45,False,False,True,False,True,False,0
2,49.28,1785.48,False,True,False,True,True,True,0
6,118.0,3060.31,False,True,False,True,True,False,0
54,80.19,6471.08,False,True,True,False,False,False,0
4,78.24,6592.52,False,True,True,False,True,True,0
54,94.81,3089.2,False,False,False,True,False,False,0
63,101.18,3683.81,True,False,False,False,True,False,0
18,85.65,2440.22,False,False,False,False,False,True,1
44,32.81,7461.79,True,False,False,False,False,True,0
34,53.83,966.78,False,False,False,True,True,False,0
62,112.81,7471.32,False,True,False,True,False,True,1
14,42.46,5477.25,False,True,False,False,False,False,1
48,57.22,4261.95,True,False,False,False,False,False,0
15,63.21,280.62,True,False,True,False,False,False,0
62,63.94,3815.26,False,False,False,True,False,True,1
40,81.29,3273.83,True,False,False,True,True,False,0
53,114.31,1306.53,False,False,False,False,False,False,0
24,44.07,5258.15,True,False,False,False,False,True,1
26,32.15,7769.78,True,False,False,True,True,False,1
60,39.75,4506.27,True,False,True,False,True,False,0
41,108.69,5723.73,False,True,False,False,False,False,1
29,84.58,566.23,False,True,False,True,True,False,0
15,48.59,3352.98,False,False,False,True,True,False,0
45,101.59,948.54,True,False,True,False,True,False,0
65,106.14,4910.11,False,False,True,False,True,True,1
71,104.65,7509.09,True,False,False,False,True,False,1
9,111.89,5300.99,False,True,False,False,True,False,1
1,45.22,632.89,False,True,False,False,False,True,1
8,95.5,2850.24,True,False,False,True,False,False,0
63,66.05,4414.29,True,False,False,False,True,False,1
11,104.2,3237.6,False,True,False,True,True,True,0
8,92.85,6672.48,False,True,False,False,False,True,0
35,97.64,6521.07,False,False,True,False,True,True,1
35,85.62,4902.41,False,True,True,False,False,True,1
33,37.74,3000.19,True,False,False,True,True,True,1
5,74.5,2057.58,False,False,True,False,False,True,1
41,118.47,864.88,True,False,False,True,False,True,0
28,113.74,2852.08,False,False,False,True,True,False,0
7,24.32,3317.12,True,False,True,False,True,False,0
12,36.48,5413.07,False,True,False,True,True,False,0
34,33.17,5272.12,True,False,True,False,True,True,0
33,92.6,579.46,False,False,False,False,False,False,0
48,101.78,3174.17,True,False,False,False,True,True,0
23,41.35,1470.6,False,False,True,False,False,False,1
62,70.59,1271.37,True,False,True,False,True,False,1
37,104.07,6621.87,False,True,True,False,False,False,0
44,93.28,354.48,False,True,True,False,True,False,0
35,74.22,3365.08,True,False,False,False,True,True,0
65,79.03,1362.27,True,False,False,True,False,True,0
47,70.84,7037.06,True,False,False,True,True,False,0
3,49.75,4465.18,False,False,False,False,True,True,0
1,76.5,1866.42,True,False,False,True,True,True,0
5,88.89,4029.37,True,False,False,False,True,False,0
14,107.33,5857.26,False,False,False,True,True,True,0
27,83.63,7665.78,False,True,True,False,False,True,0
9,96.11,1779.16,True,False,True,False,True,True,0
15,36.01,7091.73,True,False,True,False,False,True,0
42,66.16,7475.75,False,True,False,False,True,False,0
51,20.93,7333.04,False,True,False,False,True,False,0
63,44.67,5090.61,False,False,False,True,False,True,0
52,92.65,5045.97,True,False,False,True,False,False,0
4,119.18,3237.62,True,False,False,True,False,False,1
23,29.92,6024.14,False,False,False,False,False,False,0
15,60.15,4259.73,False,True,False,True,False,True,1
43,100.01,5425.96,False,False,True,False,True,True,0
29,40.4,3439.09,False,True,False,True,False,False,0
36,75.51,5857.34,False,False,True,False,False,False,0
13,93.31,6599.28,False,True,False,False,True,True,1
32,81.6,1188.56,False,False,True,False,True,False,0
71,38.8,6666.78,False,True,True,False,False,True,0
59,55.54,4331.57,False,True,True,False,False,False,0
28,98.38,6760.43,False,True,False,False,False,True,1
66,75.42,3461.79,False,True,False,False,True,True,0
42,20.52,3044.74,False,True,False,False,False,True,0
45,96.1,7322.18,True,False,False,False,True,True,1
62,23.53,2024.33,False,True,False,True,True,False,0
57,94.57,6756.81,True,False,False,False,True,True,0
6,40.25,3882.48,False,True,True,False,True,False,0
28,115.81,4122.48,True,False,False,False,False,True,0
28,56.79,2481.58,True,False,False,True,True,True,0
44,52.69,4592.88,False,False,False,True,True,False,0
30,34.89,2615.19,False,True,False,True,False,False,0
62,50.56,333.37,False,False,True,False,True,False,1
62,107.67,2190.55,False,False,False,False,False,True,1
1,119.63,70.9,False,True,False,False,True,True,0
27,56.83,7827.27,False,False,False,False,False,False,0
62,64.86,7726.66,False,True,True,False,True,True,0
3,92.21,3173.34,False,False,True,False,True,False,0
70,108.62,5832.4,False,True,False,True,False,True,0
27,79.3,2779.53,False,True,False,True,True,True,0
9,59.15,5375.32,False,True,False,False,True,True,1
62,61.26,6447.33,True,False,True,False,False,False,0
37,89.56,7575.11,False,False,True,False,True,True,0
51,20.32,3213.69,True,False,False,False,True,False,0
44,81.96,6270.72,False,False,False,False,False,False,1
24,55.55,2142.11,False,False,False,True,False,True,0
59,99.42,7922.85,False,False,False,True,False,False,1
32,29.3,225.64,True,False,False,True,False,False,1
52,78.82,4836.16,False,False,False,False,False,True,1
62,68.1,5282.86,True,False,False,False,True,False,0
58,84.23,5510.6,False,True,False,True,False,False,0
52,26.49,980.69,False,False,False,True,True,True,0
12,78.0,7509.47,False,False,True,False,False,True,0
39,76.15,1465.84,False,True,True,False,True,True,0
2,76.07,4989.57,False,True,False,True,True,False,0
3,80.35,1796.96,False,False,False,True,False,False,0
56,87.65,2471.59,False,True,True,False,True,True,1
59,100.5,4380.74,True,False,False,True,True,False,0
2,46.98,3349.2,True,False,True,False,False,True,0
2,102.5,1298.6,False,False,True,False,False,True,0
54,69.83,1384.07,True,False,True,False,False,True,0
1,27.71,3356.8,True,False,False,False,False,False,0
19,25.86,6063.12,False,False,False,False,True,False,1
2,53.42,7185.76,False,True,False,True,True,True,0
53,98.49,691.34,False,False,True,False,True,True,0
44,90.77,3156.97,True,False,False,False,True,False,0
32,98.86,819.96,False,False,False,True,True,True,0
70,71.73,152.41,False,False,False,True,True,False,0
32,64.02,5300.52,True,False,False,True,False,True,0
68,34.75,4827.55,True,False,False,True,True,True,0
55,52.82,1320.89,False,False,False,True,True,False,1
56,63.4,1885.83,True,False,True,False,True,False,0
17,28.86,209.19,True,False,False,True,False,False,0
38,42.06,6682.88,True,False,True,False,False,False,1
24,79.82,7798.03,True,False,False,False,False,False,0
69,93.57,1100.97,True,False,False,True,False,True,0
70,119.83,1867.17,True,False,False,False,True,True,0
11,113.31,6949.91,False,True,True,False,True,False,1
16,84.26,7413.18,False,False,True,False,True,False,0
59,62.12,3368.63,True,False,False,False,False,True,0
70,83.62,423.97,False,False,False,True,True,True,0
3,98.57,334.35,False,True,False,True,True,False,0
20,31.83,4600.12,True,False,False,False,True,False,1
59,60.99,3155.3,False,False,False,False,False,True,0
36,103.98,248.65,True,False,False,False,False,False,1
19,58.38,4674.35,True,False,False,True,False,True,1
67,77.19,110.19,True,False,False,True,True,True,0
19,78.78,6303.23,True,False,False,True,True,False,0
20,38.45,2465.33,True,False,False,False,True,True,0
71,56.22,341.26,True,False,False,True,True,True,1
52,53.45,4715.05,True,False,True,False,False,True,0
33,22.62,3193.52,False,True,False,False,True,False,0
40,22.42,7790.93,False,True,False,True,False,True,0
39,103.17,4362.71,True,False,False,False,True,False,0
1,47.31,2216.41,True,False,True,False,False,True,0
11,71.81,5681.32,False,True,True,False,True,True,0
57,49.87,2186.51,False,True,False,False,True,True,1
50,114.07,7235.86,False,True,False,False,False,True,0
23,45.93,3010.28,True,False,True,False,False,True,0
31,62.97,4407.95,False,False,False,False,True,False,0
42,107.27,423.57,False,False,True,False,True,False,0
7,104.19,3420.45,False,False,True,False,True,True,0
16,38.61,6662.26,False,False,False,True,False,False,1
60,100.26,6449.08,True,False,False,False,True,False,1
2,65.82,1810.06,False,False,False,False,False,True,0
1,68.3,1824.11,False,True,False,True,True,False,1
48,33.35,6542.1,False,True,True,False,True,False,0
12,28.06,7444.58,False,False,False,False,True,False,0
69,92.79,780.98,False,True,False,True,True,False,0
37,69.65,3611.47,True,False,False,True,False,True,0
32,63.69,2712.89,False,False,False,False,False,False,0
9,92.95,6968.09,False,False,False,True,True,True,0
19,96.55,686.53,True,False,True,False,True,True,1
48,35.89,1704.79,False,True,False,True,True,False,0
3,81.02,6024.7,True,False,True,False,False,True,0
20,33.54,429.32,True,False,True,False,True,False,0
24,95.14,3950.43,False,True,False,False,False,True,1
54,85.7,3548.01,True,False,False,True,False,False,0
33,115.66,2688.52,False,True,True,False,False,False,0
24,26.9,3168.69,False,True,True,False,False,True,0
36,25.71,4248.93,True,False,False,True,True,False,0
38,48.22,1307.71,False,True,True,False,True,False,0
25,46.17,4584.53,True,False,False,True,False,False,0
18,44.7,6447.35,False,True,False,False,True,False,1
66,110.63,6086.08,False,False,True,False,True,True,0
54,44.95,1248.12,False,True,True,False,True,True,0
35,47.19,1211.01,False,True,False,True,False,True,0
61,95.94,2160.03,True,False,False,True,True,False,0
41,64.97,2901.38,False,True,False,True,True,True,1
33,97.67,3279.48,False,False,False,True,True,False,1
68,26.54,5443.98,False,False,True,False,True,False,0
33,68.76,472.31,False,True,False,False,True,False,0
14,23.36,296.69,False,True,False,False,True,True,0
21,26.27,3147.45,False,False,False,False,True,True,0
48,110.64,5583.37,True,False,False,False,True,True,0
20,33.92,1563.61,False,False,False,True,True,True,0
8,73.24,5139.21,False,False,True,False,True,False,0
7,61.11,2093.43,False,True,True,False,False,True,0
67,54.73,7090.97,False,True,True,False,True,True,0
17,109.98,7167.61,False,False,False,True,False,True,0
33,22.18,2392.35,True,False,True,False,True,True,0
48,86.38,1855.35,False,False,False,True,False,False,0
59,116.34,3302.21,False,False,True,False,False,True,0
22,76.02,1939.44,True,False,False,False,True,True,0
30,113.68,5385.62,False,False,False,True,False,True,0
38,25.23,6612.0,False,False,True,False,False,False,1
51,61.88,5391.28,False,True,False,False,False,True,0
54,46.02,6598.32,True,False,False,False,True,True,0
8,93.08,3188.0,False,True,False,False,False,True,0
27,118.13,1267.41,False,True,False,True,False,False,1
27,45.65,5908.85,True,False,False,True,True,False,1
21,85.42,2896.59,True,False,True,False,False,True,1
30,39.81,5376.74,False,False,False,False,False,True,0
28,76.53,2179.74,False,True,True,False,False,False,1
64,66.39,668.21,True,False,True,False,True,False,0
69,117.2,7940.8,False,True,False,False,False,False,1
61,80.85,1266.49,False,True,True,False,True,False,1
48,54.95,7907.6,True,False,False,True,False,False,1
19,31.41,7818.69,False,False,True,False,False,True,1
4,35.12,6354.67,False,True,False,False,False,True,0
35,42.53,5282.2,True,False,False,True,False,True,0
64,45.1,4630.9,False,False,False,True,True,True,0
49,105.06,6931.49,False,True,True,False,False,False,1
17,76.12,2329.73,True,False,True,False,True,False,1
44,72.34,3752.1,False,True,False,True,False,False,0
30,31.48,4962.73,True,False,True,False,True,False,0
46,106.01,3301.3,True,False,False,False,False,False,1
6,92.28,3431.34,False,True,True,False,False,True,0
37,26.77,2655.67,False,True,True,False,True,True,0
24,90.78,4522.57,True,False,False,True,True,True,1
46,74.35,6807.58,False,False,True,False,True,True,0
53,28.17,1628.2,False,True,True,False,True,True,1
60,65.83,7476.78,True,False,True,False,False,False,0
63,68.47,5518.92,True,False,False,False,True,False,1
32,36.58,6589.72,False,False,True,False,True,False,0
33,114.57,4458.4,False,False,False,False,True,False,1
67,105.0,6240.54,False,False,False,False,False,False,0
18,86.9,149.28,False,True,False,False,False,True,1
25,66.23,6550.68,True,False,False,False,False,True,0
54,61.18,340.31,True,False,False,True,False,True,0
58,85.1,7121.51,True,False,False,False,True,False,0
67,74.54,7935.86,False,False,True,False,False,False,0
46,26.23,2366.66,True,False,False,False,True,False,0
24,71.25,1698.34,False,True,True,False,False,False,0
32,100.64,6127.6,False,False,False,False,True,True,1
47,65.92,2039.15,False,False,False,True,True,False,0
23,25.2,6927.19,False,False,False,False,True,True,1
66,98.63,840.68,False,False,False,False,True,False,0
27,40.14,1025.12,False,True,False,True,True,True,1
2,45.86,7833.63,True,False,False,False,False,False,0
17,36.47,5397.23,False,True,True,False,True,False,0
33,53.02,6778.16,True,False,False,False,True,True,0
9,95.68,2608.15,False,True,False,False,True,True,0
43,71.94,5418.34,False,False,False,False,True,False,1
48,40.49,4762.05,False,False,False,True,False,True,0
39,107.78,4833.14,False,True,False,False,False,False,1
42,107.96,5466.61,False,True,False,False,True,False,0
26,107.06,4611.37,True,False,True,False,True,True,0
50,43.88,3443.92,False,True,False,False,True,False,0
25,65.12,2221.86,False,True,False,False,True,False,1
24,118.5,6153.28,True,False,False,False,False,True,1
13,97.2,1825.65,True,False,False,False,False,False,1
60,22.72,5544.99,True,False,True,False,True,False,1
7,26.52,1882.0,False,True,True,False,True,False,1
57,66.39,5010.13,True,False,False,True,True,False,0
36,110.92,5981.68,False,False,False,False,True,True,1
45,73.87,1765.34,False,False,False,True,True,True,0
20,69.78,498.35,False,False,False,True,False,True,0
65,30.55,1065.17,False,True,False,False,False,False,0
8,85.68,4855.86,False,False,True,False,True,True,0
16,102.21,6798.58,False,True,True,False,False,True,0
14,58.04,379.07,False,True,False,False,False,True,0
15,97.56,5878.53,False,False,False,False,False,False,1
66,116.45,2743.72,True,False,True,False,True,True,0
32,40.38,3838.66,False,True,False,False,False,True,0
63,72.33,7432.3,False,False,False,False,False,False,0
51,48.71,2669.13,False,True,False,False,True,False,0
25,99.29,3733.39,True,False,True,False,False,False,0
58,77.76,129.19,True,False,False,True,True,False,0
63,83.46,671.16,False,False,False,True,False,False,1
62,99.79,2083.56,False,True,False,False,True,False,0
22,59.6,242.26,False,True,True,False,True,True,0
58,111.51,5058.38,False,True,False,False,False,True,1
58,73.3,3422.66,False,True,True,False,False,False,1
49,35.8,4394.2,False,False,False,False,True,False,1
52,89.59,1413.68,True,False,True,False,True,True,0
42,99.33,2381.54,False,False,True,False,False,False,1
70,51.68,5317.32,False,True,False,True,False,False,0
15,105.72,7723.12,False,True,False,False,False,True,0
54,110.61,422.33,True,False,False,True,False,False,0
60,47.69,7125.27,False,True,False,True,True,False,0
8,118.35,4623.51,False,False,True,False,True,True,0
53,34.07,4520.08,False,False,False,False,True,True,0
60,40.2,4012.22,True,False,True,False,False,True,1
5,38.42,573.76,False,False,True,False,False,True,0
68,109.4,737.22,False,False,True,False,True,True,0
6,85.43,4815.28,False,False,False,False,True,False,0
47,35.21,2740.85,False,False,False,False,True,False,0
